# sid, x, y, z, r
0, -8.1998279621911205, 6.0020834035133328, 0.3464770984806494, 0.4350143355631094
1, -8.1994590418182938, -5.4131983705881348, -9.9662864850992268, 0.4781789821002205
2, 4.0569722361201377, 5.7703789518424378, -5.5591333958309237, 0.4385024377513937
3, 11.7994987563670932, 6.5095648194431073, 8.0858442357869382, 0.4707029891678376
4, 11.7767927890048174, -3.9887269666647351, -9.9993702859528781, 0.4777475451611865
5, 3.3365478382546496, 6.8079455612222715, -18.9992736471140127, 0.4605139480863132
6, 2.0964106419253659, -6.9948358058945477, 6.0221363063454456, 0.4437838540441073
7, 7.2310054889238575, -4.4135071155733012, -15.1312095802508733, 0.4315837650046481
8, 6.2409999578626918, 8.6160741095446038, -9.9993768386683062, 0.4586755743597986
9, 8.9505003509220753, -0.6941345167460996, -5.9919833855718911, 0.4399150220263409
10, 7.0380307527505277, 5.9156559637473531, -2.9432259322653906, 0.4530983763920170
11, 4.0368489600243214, 9.9995197542846110, -9.9774105063817995, 0.4274777782785378
12, 4.4833491818956253, 3.5650301803388440, -5.3769750853456255, 0.4459461125172069
13, -3.0700318800724054, 5.0417075305278942, -15.5955409652466059, 0.4197385616225981
14, 11.1964490160042800, 0.1682635278420935, -5.9974383181356838, 0.4593203618398004
15, 11.7837916093596888, 1.1743143592586889, -9.9994770988324788, 0.4674589717203224
16, 11.7996594814454223, -4.6666326687762272, -4.8729938745655241, 0.4658095092991044
17, -3.1927478027844081, 2.1488677888774390, -5.6265048741425385, 0.4400792761930251
18, -6.9303058643580213, 4.0629071292727108, -4.4233122628606152, 0.4477155408222264
19, 11.0597144483650194, 9.2907689507705502, 9.9993670318999630, 0.4479011356300969
20, -5.1996758006295503, -0.1291574946761722, -16.2774074158952544, 0.4534225249740402
21, -2.0987954706719520, 5.8230717522371922, 17.0777741176662872, 0.4369480768366458
22, 7.7874391814509023, 2.4895654270550538, -5.4553596350106384, 0.4584870235273078
23, -2.7109915337033663, -9.9996636356008004, 5.8168545760145625, 0.4521605304569525
24, -4.2309860925081146, 9.9995911676237412, 6.1577047058734937, 0.4404608601144950
